id,text,is_humor,votes_no,votes_1,votes_2,votes_3,votes_4,votes_5,funniness_average
705196579758583809,"Niveles de retraso mental: 

— Bajo.
— Medio.
— Alto.
— Elevado.
— Regresar con tu ex.",1,0,2,2,0,0,0,1.5000
678040651817213952,"—Vamos Luke desenfunda tu sable, demuestra tu odio, que perteneces al lado oscuro
—Señor súbase los pantalones o llamo a seguridad.
—JAJAJA.",1,1,3,0,1,0,0,1.5000
546750892213829633,"- ¿Te ofrezco algo?, ¿Agua, café, mi corazón, mi vida entera?
-Agua está bien
-Pero yo creí que...
- ¡AGUA DIJE!",1,0,1,1,0,1,1,3.0000
965807211292364801,No se porqué me hago la cabeza deooos,0,3,0,0,0,0,0,NULL
638403841839484928,Quisiera saber que hago durante la siesta de la cual me levanto más cansado que cuando me acosté a dormir.,0,4,0,1,0,0,0,NULL
670068341596413952,"La persona que te dice que no se arrepiente de nada en la vida, o no toma alcohol, o no lleva el celular cuando lo hace.",0,3,1,1,0,0,0,NULL
753489211324379136,"—Buenas don Pepe, ¿me vende un litro de leche?
—¿Entera?
—No, si quiere tómese un vasito pinche viejo abusivo...",1,1,1,0,1,1,0,2.6667
965725925684994055,Meeee aburro,0,3,0,0,0,0,0,NULL
661390091005358080,Macri le dijo las gordas que usar calzas está bien.,0,3,0,0,0,0,0,NULL
965703947523571712,JAVIER CHICALITO HERNANDEZ *7,0,3,0,0,0,0,0,NULL
965763582133784576,"Conducir a Cerro Navia, compartir información de la carretera en tiempo real con wazers en mi zona. ETA 11:20 PM usando @waze - Conducció...",0,3,0,0,0,0,0,NULL
244884358199119873,#LosNiñosBonitos le ponen pausa al videojuego para escuchar lo que dicen #LasNiñasBonitas.,0,3,0,0,0,0,0,NULL
224604761373151232,#20CosasQueHacerAntesDeMorir: Enseñarles la diferencia entre: -Hay de haber -Ahí de lugar -Ay de exclamar - Ai se eu te pego.,1,0,1,1,2,1,0,2.6000
888857629681909762,Leí que la falta de sexo trae consigo una notable mejora en el léxico. Me quedo absorto ante tal afirmación carente de raciocinio.,1,1,1,0,1,1,1,3.2500
965715326670458883,"y ahora un poco mas breve:
Sevillista que VENDA UNA acción, una:
Traidor.",0,3,0,0,0,0,0,NULL
965675220769165314,Ya apronté él bolso,0,3,0,0,0,0,0,NULL
941180430170107904,Esas canciones del celular que nunca escuchamos pero no las borramos ''por si acaso'',0,6,1,1,1,0,0,NULL
838978918493392896,"""Se te ven buenas chichis en tu foto de Whatsapp""

*enviar a todas*",0,3,1,1,0,0,0,NULL
796725289120309249,Ni Jesús te ama.,0,4,0,0,0,1,0,NULL
965732074522103808,"Ah no, bien.",0,3,0,0,0,0,0,NULL
233705112353267712,Te quiero pero #YoTan Twitter y tú tan Facebook.,1,2,2,0,1,0,0,1.6667
327795499182747648,"-El alcohol es un veneno. –Si es un veneno, ¿Por qué lo tomas? -Porque hay cosas dentro de mi que necesito matar. -Charlie Sheen",1,2,1,1,0,1,0,2.3333
173815429255536640,"Cambié mi contraseña de Twitter por ''incorrecta'', si se me olvida, twitter me la recordará: Su contraseña es ''incorrecta''. Soy una genio",1,0,0,1,4,0,0,2.8000
965902656882561024,estoy mas en twitter que en clase (en clase),1,2,1,1,1,0,0,2.0000
745453843320700928,"— Di algo bonito.
— Tú.
— Aún más bonito.
— Nosotros.",0,4,1,0,0,0,0,NULL
765054115139362816,Un piano me caería excelente en estos momentos.,1,1,1,1,1,1,0,2.5000
965813867673776129,saludos a todos,0,3,0,0,0,0,0,NULL
766299934987522049,"— ¿Cómo va la dieta? 

— Me la comí.",1,0,0,3,1,0,2,3.1667
682749615872065536,WhatsApp cayó varias veces en 2015 y vos todavía no caes que nadie te soporta.,1,2,2,0,0,0,1,2.3333
965829810227433472,Lo malo de ser latina es que tenemos que vivir sabiendo que probablemente nunca abrazaremos a nuestros idolos,0,3,0,0,0,0,0,NULL
268470674560008192,"- Hijo ¿compraste una iPad?

- No ¿Por qué? 

- Entonces ¿Por qué traes esa ""Tableta sin Teclas"" Jajajá!

- Ya Mamá, deja a mi novia en paz!",1,1,3,0,0,0,0,1.0000
781147277817634816,"Los hombres solo le vemos las nalgas a otras mujeres solo para decir: ""Ah, están más bonitas las de mi novia"". Y ustedes haciendo un drama.",1,1,0,2,2,0,0,2.5000
399380121271803904,"Soy virgen, lo juro por mis dos hijos!",1,1,1,2,0,0,0,1.6667
804052505428639744,"—Bienvenido a los X-Men, ¿cuál es tu poder? 
—Creo regresaré con mi Ex
—Muy bien, te llamaremos «Bestia».",1,0,2,2,0,1,0,2.0000
879516756972273664,Tomar champaña después de lavarse los dientes. Mas rico,0,3,0,0,0,0,0,NULL
419158949418782720,"—¿Qué somos? 
—Estudiantes! 
—¿Qué queremos?
—6 meses de vacaciones 
—¿Y cuándo las queremos?
—2 veces al año!",1,0,1,0,2,2,0,3.0000
836097315639345153,"Soy La La Land en el amor.

#Oscars",0,3,0,0,0,0,0,NULL
828306518281908224,"No se si estoy cruda, peda, viva, arriba, abajo, cintura sola, la media vuelta, despacito, quiero respirar tu cuello deeeees pa ci to.",0,3,0,0,0,0,0,NULL
792432498034606080,Me acelera el corazón cada vez que siento adrenalina #ConChecoEnInfinitum,0,3,0,0,0,0,0,NULL
965773367453388800,"Otra vez me estaba sintiendo lindo y pum, nuevamente todo al piso xdxd",0,3,0,0,0,0,0,NULL
953462194750083072,"–¿Tiene pastillas para la diarrea? –No. –Ok, deme un rollo de papel higiénico :(",1,0,1,1,2,1,0,2.6000
965730841421807622,Vengo de ver Fifty Shades Freed y tengo senimienos encontrados.,0,3,0,0,0,0,0,NULL
353491074771197953,"Que te pongan una vacuna y gritar: ""La base de datos de virus ha sido actualizada""",1,0,1,2,0,0,1,2.5000
365618789150228483,"Te pienso en 3D. —""D""espierto —""D""ormido —""D""onde sea.",0,3,0,0,0,0,0,NULL
965770582452310017,"+quiero un 00:00?
- y yo quiero que te vallas ala concha de tu madre.",1,1,4,0,0,0,0,1.0000
286984350371807232,"—Hola linda, ¿Por qué tan sola? —Es que me vine a tirar un pedo.",1,1,1,2,1,0,0,2.0000
802401032265408513,Lo bueno que tras la muerte de Fidel su rostro será inmortalizado en mercancía capitalista tal como sucedió con el Che.,0,3,0,0,0,0,0,NULL
213778349376536576,Madurar es dejar de creer que el profesor Jirafales sólo entraba a tomar una tacita de café #XD,1,0,2,1,0,1,0,2.0000
965771102524989442,Estaba re emocionada 😂😂😂,0,3,0,0,0,0,0,NULL
965815260178460672,Necesito bajar 20 kilos o 10 pa ser normal auqnue sea,0,3,1,1,0,0,0,NULL
961893183335682048,"Mirarle y pensar 'Ese era mi amigo, como pudo cambiar tanto...""",0,3,0,0,0,0,0,NULL
238328710267293697,"""Despedí a Carmen Aristegui por presión de los Pinos"" Atte: Joaquín Vargas.

#NOOOOOMEEEEEDIIIGAAAASSSSSSS!!!",0,3,0,1,0,0,0,NULL
243773770324652033,"#TeRecuerdoQue el mañana es lo único que no tenemos seguro, así que disfruta el hoy como si fuera el último día.",0,3,0,0,0,0,0,NULL
750759976742768640,¿Que por qué no tengo tatuajes? ¿Acaso le pondrías una calcomanía a un Lamborghini?,1,1,2,2,0,0,0,1.5000
789598238651346944,"Sí mira amiga, nos vale verga que sepas andar en patineta, ya sabemos la pobreza que compartes con tu novio el mariguanero piojoso ese.",0,4,0,0,0,0,0,NULL
965778174134116353,ahora tengo q subir de 16 grupos más pero ya me puse la pijama,0,4,0,0,0,0,0,NULL
973652119432679424,"—¿Y Thomas? —No, yo no tomo. —No, ¿Que si Thomas vino? —No me gusta el vino. —¡No! ¡¿Que si llegó Thomas?! —No, no tomaré ni aunque llegues.",1,2,1,1,1,0,0,2.0000
776153764768153600,"Extraño a Ancelotti, con su ceja arqueada y masticando chicle, poniendo de titular a mi bebé James.",0,4,0,1,0,0,0,NULL
963328359865421824,"¿En que se parecen un ginecólogo y un camarero?
En que los dos trabajan donde los demas se divierten.
#Chistes #H...",1,0,0,2,1,2,0,3.0000
920307479950569474,"""Oye we ¿entonces a qué berga vienes a la escuela?""

—Yo, cuando alguien no tiene los apuntes que necesito.",1,2,2,1,0,0,0,1.3333
942943697385160704,Todo es más emocionante cuando sé que te voy a ver.,0,4,0,0,0,0,0,NULL
795265763720445952,"Despiértense porquerías, si yo no voy a descansar en domingo... ustedes menos. 📢📢📢ARRIBA!",0,3,0,0,0,0,0,NULL
923916490973249537,"Llamar a tu ex llorando 

COSAS DE BORRACHOS",0,3,0,0,0,0,0,NULL
965947200382685186,Ya me empecé a sentir mal MILAGROS POR FAVOR,0,4,1,0,0,0,0,NULL
